Destination_3Zip,freight_terms,3zip_des_total_revenue,3zip_des_ordvrs_cnt,3zip_des_cases_received,"3zip_des_cases_received (col,pp)",total_dc_sqft,totalQty_allDCs,Lane_Share%,Lane_Space,Default Warehouse,Costing Warehouse,3zip_Inbound Spend,3zip_Distribution Spend,3zip_parcel_shipment,3zip_parcel_weight,3zip_avg_weight/parcel,zon_us&can_combnd,servicedays_us&can_combnd,3zip_Parcel Spend,LTL_Shipment_Count,LTL_Weight,LTL_Cost,Mean Weight / LTL Shipment,Cost Per CWT,3zip_LTL_Spend,TL_Shipment_Count,TL_Weight,TL_Cost,avg_tl_rate,3zip_tl_spend,3zip_scenario cost,Cost rank dc,cheapest cost to serve,cheapest to serve from, Baseline Cost to Serve,Baseline Rate Zone,Relative Additional Cost,avg_delivery_days,avg_transit_days
,Prepaid,0,0,45,,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
 32,Prepaid,0,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
093,Prepaid,40.1,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
0NU,Prepaid,20660283.129982285,0,220972,220972,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
854,Prepaid,175.97000000000003,0,4,4,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
867,Prepaid,92.69,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
896,Prepaid,51.19,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
B3W,Prepaid,0,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
B5H,Prepaid,0,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
E6X,Prepaid,0,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
G4Y,Prepaid,0,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
N5B,Prepaid,0,0,1,1,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
X0A,Prepaid,653.8954864000001,0,10,10,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
X0B,Prepaid,1161.1960194,0,8,8,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
X0C,Prepaid,1004.473972,0,12,12,,,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,,,,,,
006,Prepaid,7350.389999999992,103,103,103,2005000,26882531,0.000003831484468482525,7.682126359307462,Elwood,Los Angeles,183.7582341803643,158.673295767651376,103,997.91,10,10,5,0,0,0,0,0,26.933932364216158,0,0,0,0,,0,342.431529948015674,1,342.431529948015674,Los Angeles,,,,2.562039878595487,2.1988812999110126
006,Prepaid,7350.389999999992,103,103,103,2005000,26882531,0.000003831484468482525,7.682126359307462,Elwood,R Virginia,257.5103211089575,87.519054727112818,103,997.91,10,10,5,0,0,0,0,0,20.653756512784252,0,0,0,0,,0,345.029375836070316,2,,,,,,1.747728505214035,1.6045105874787562
006,Prepaid,7350.389999999992,103,103,103,2005000,26882531,0.000003831484468482525,7.682126359307462,Elwood,Elwood,308.2824285962541,92.384310263271469,103,997.91,10,10,5,0,0,0,0,0,22.574497035706777,0,0,0,0,,0,400.666738859525547,3,,,400.666738859525547,10,0,1.683237464635028,1.8501290158529011
006,Prepaid,7350.389999999992,103,103,103,2005000,26882531,0.000003831484468482525,7.682126359307462,Elwood,Dallas,305.08986020996406,103.40368524208809,103,997.91,10,10,5,0,0,0,0,0,26.630739722671716,0,0,0,0,,0,408.493545452052148,4,,,,,,2.270588936191102,1.8118567921819277
007,Prepaid,7776.729999999994,173,173,173,2005000,26882531,0.000006435405951917251,12.902988933594088,Elwood,Los Angeles,308.6424710019711,266.509516192268816,173,1224.2000000000003,7,10,5,0,0,0,0,0,26.933932364216158,0,0,0,0,,0,575.151987194239919,1,575.151987194239919,Los Angeles,,,,2.562039878595487,2.1988812999110126
007,Prepaid,7776.729999999994,173,173,173,2005000,26882531,0.000006435405951917251,12.902988933594088,Elwood,R Virginia,432.5173354548509,146.998023959131238,173,1224.2000000000003,7,10,5,0,0,0,0,0,20.653756512784252,0,0,0,0,,0,579.51535941398216,2,,,,,,1.747728505214035,1.6045105874787562
007,Prepaid,7776.729999999994,173,173,173,2005000,26882531,0.000006435405951917251,12.902988933594088,Elwood,Elwood,517.7947587102132,155.169763840252079,173,1224.2000000000003,7,10,5,0,0,0,0,0,22.574497035706777,0,0,0,0,,0,672.964522550465238,3,,,672.964522550465238,10,0,1.683237464635028,1.8501290158529011
